[INFO] RiTa.WordNet.version [033]
file	readability
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query10/CodeSnippet1.java	0.7115097641944885
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query10/CodeSnippet2.java	0.8742178678512573
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query11/CodeSnippet1.java	0.43993356823921204
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query11/CodeSnippet2.java	0.5519517660140991
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query12/CodeSnippet1.java	0.9418020248413086
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query12/CodeSnippet2.java	0.4668945372104645
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query13/CodeSnippet1.java	0.8553087711334229
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query13/CodeSnippet2.java	0.899649977684021
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query14/CodeSnippet1.java	0.8320298790931702
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query14/CodeSnippet2.java	0.5481285452842712
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query15/CodeSnippet1.java	0.7333008050918579
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query15/CodeSnippet2.java	0.7902159094810486
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query16/CodeSnippet1.java	0.5706982612609863
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query16/CodeSnippet2.java	0.45395970344543457
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query17/CodeSnippet1.java	0.6462336182594299
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query17/CodeSnippet2.java	0.9395569562911987
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query18/CodeSnippet1.java	0.8882756233215332
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query18/CodeSnippet2.java	0.9257522821426392
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query19/CodeSnippet1.java	0.9882110357284546
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query19/CodeSnippet2.java	0.647003710269928
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query20/CodeSnippet1.java	0.8804150819778442
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query20/CodeSnippet2.java	0.7749640345573425
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query21/CodeSnippet1.java	0.41042786836624146
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query21/CodeSnippet2.java	0.9295626878738403
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query22/CodeSnippet1.java	0.9229265451431274
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query22/CodeSnippet2.java	0.5047174096107483
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query23/CodeSnippet1.java	0.8086516062418619
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query23/CodeSnippet2.java	0.9070659279823303
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query24/CodeSnippet1.java	0.41042786836624146
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query24/CodeSnippet2.java	0.2669218182563782
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query25/CodeSnippet1.java	0.5300747156143188
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query25/CodeSnippet2.java	0.3315154016017914
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query26/CodeSnippet1.java	0.7981639504432678
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query26/CodeSnippet2.java	0.7734155654907227
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query27/CodeSnippet1.java	0.6480644345283508
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query27/CodeSnippet2.java	0.8225437998771667
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query28/CodeSnippet1.java	0.5617724657058716
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query28/CodeSnippet2.java	0.6154235303401947
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query29/CodeSnippet1.java	0.9529151320457458
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query29/CodeSnippet2.java	0.9790151715278625
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query30/CodeExample1.java	0.5918301939964294
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query30/CodeExample2.java	0.6805786490440369
